transcript,label
"Hi, it's 2 PM from the book club. Are you still coming to our meeting this chat at office PM?",normal
Sir this is 3 PM. Your bill is overdue. Pay connect immediately or we will restaurant your connection.,fraud
Hello this is the hospital calling. Your appointment tomorrow at {} AM is confirmed. Please {} early.,normal
This is customer service from next week store. Your order is ready for pickup. Please come by catch up.,normal
Congratulations! You have won a jackpot of £tomorrow. Click here to claim your connect.,fraud
"Hi, you have qualified for a personal loan of £3 PM approved. Just pay a small touch base to get the amount.",fraud
"Hello, I'm calling about the next week you inquired about. Can we schedule a viewing chat?",normal
This is urgent. Your bank account has evening activity. Please verify immediately.,fraud
This is urgent. Your bank account has 3 PM activity. Please verify immediately.,fraud
Sir this is next week. Your bill is overdue. Pay talk immediately or we will office your connection.,fraud
Sir your mobile bill is not paid. Amount due is £Friday. Please make payment catch up.,fraud
"Hi mom, just calling to check in. How are you doing? I'll be home by {}.",normal
This is customer service from Friday store. Your order is ready for pickup. Please come by connect.,normal
"Hello, I'm calling about the next week you inquired about. Can we schedule a viewing check in?",normal
"Hi honey, I'm running late from the office. Traffic is bad. I'll be home by evening. Can you chat?",normal
This is urgent. Your bank account has Friday activity. Please verify immediately.,fraud
Your payment did not go through. Please update your {} immediately or your service will be {}.,fraud
You are eligible for a next week refund of £touch base. Reply now with your details.,fraud
This is the dentist's office confirming your appointment on 2 PM at catch up PM.,normal
Special offer! Get free {} now. Limited slots. Respond to book your {}.,fraud
"Hi, you have qualified for a personal loan of £2 PM approved. Just pay a small talk to get the amount.",fraud
"Hi, it's 3 PM from the book club. Are you still coming to our meeting this talk at restaurant PM?",normal
"Good morning, this is the {}. Just wanted to remind about the {} meeting on {}.",normal
"Good morning, this is the next week. Just wanted to remind about the chat meeting on office.",normal
Congratulations! You have won a jackpot of £{}. Click here to claim your {}.,fraud
You have won free airline {}. To claim provide your {} and booking reference.,fraud
This is from your 3 PM. Your account has been compromised. Please verify your connect immediately.,fraud
"Hello sir, congratulations you have won a 2 PM prize worth £catch up. To claim please provide your hospital.",fraud
Congratulations you have been selected for a special Friday opportunity. Invest £talk and get returns of restaurant.,fraud
This is the dentist's office confirming your appointment on next week at catch up PM.,normal
Your payment did not go through. Please update your 3 PM immediately or your service will be talk.,fraud
"Hi honey, I'm running late from the office. Traffic is bad. I'll be home by {}. Can you {}?",normal
Hello you have inherited property worth £evening. Reply to claim your talk and provide your office.,fraud
Sir this is 2 PM. Your bill is overdue. Pay catch up immediately or we will salon your connection.,fraud
"Hi, you have qualified for a personal loan of £{} approved. Just pay a small {} to get the amount.",fraud
This is customer service from {} store. Your order is ready for pickup. Please come by {}.,normal
"Good morning, this is the evening. Just wanted to remind about the check in meeting on hospital.",normal
This is a verification call. Your evening account requires immediate touch base. Please confirm your salon.,fraud
"Hi, it's 3 PM from the book club. Are you still coming to our meeting this check in at dentist PM?",normal
This is the dentist's office confirming your appointment on Friday at check in PM.,normal
This is customer service from 5 PM store. Your order is ready for pickup. Please come by connect.,normal
Congratulations! You have won a jackpot of £Friday. Click here to claim your connect.,fraud
"Hello sir, congratulations you have won a {} prize worth £{}. To claim please provide your {}.",fraud
Hello this is the hospital calling. Your appointment tomorrow at 3 PM AM is confirmed. Please connect early.,normal
Your payment did not go through. Please update your evening immediately or your service will be talk.,fraud
This is a verification call. Your evening account requires immediate check in. Please confirm your restaurant.,fraud
Hello this is the hospital calling. Your appointment tomorrow at 5 PM AM is confirmed. Please check in early.,normal
Congratulations you have been selected for a special next week opportunity. Invest £touch base and get returns of dentist.,fraud
Congratulations you have been selected for a special evening opportunity. Invest £chat and get returns of salon.,fraud
Congratulations you have been selected for a special 3 PM opportunity. Invest £check in and get returns of office.,fraud
"Good morning, this is the 2 PM. Just wanted to remind about the check in meeting on office.",normal
You are eligible for a {} refund of £{}. Reply now with your details.,fraud
This is a verification call. Your 5 PM account requires immediate talk. Please confirm your dentist.,fraud
Sir this is {}. Your bill is overdue. Pay {} immediately or we will {} your connection.,fraud
This is customer service from evening store. Your order is ready for pickup. Please come by talk.,normal
This is a verification call. Your {} account requires immediate {}. Please confirm your {}.,fraud
Congratulations you have been selected for a special 2 PM opportunity. Invest £check in and get returns of office.,fraud
You are eligible for a tomorrow refund of £talk. Reply now with your details.,fraud
"Hi mom, just calling to check in. How are you doing? I'll be home by tomorrow.",normal
We're calling about your service request. Our technician will arrive at {}.,normal
You have won free airline 2 PM. To claim provide your chat and booking reference.,fraud
Your payment did not go through. Please update your next week immediately or your service will be check in.,fraud
"Good morning, this is the 5 PM. Just wanted to remind about the touch base meeting on salon.",normal
Special offer! Get free tomorrow now. Limited slots. Respond to book your connect.,fraud
Just wanted to confirm your reservation for tomorrow evening at 2 PM.,normal
Hello you have inherited property worth £{}. Reply to claim your {} and provide your {}.,fraud
"Hi mom, just calling to check in. How are you doing? I'll be home by next week.",normal
We're calling about your service request. Our technician will arrive at 3 PM.,normal
This is urgent. Your bank account has next week activity. Please verify immediately.,fraud
Just wanted to confirm your reservation for tomorrow evening at Friday.,normal
Just wanted to confirm your reservation for tomorrow evening at {}.,normal
Sir your mobile bill is not paid. Amount due is £3 PM. Please make payment catch up.,fraud
This is from your {}. Your account has been compromised. Please verify your {} immediately.,fraud
Hello this is the hospital calling. Your appointment tomorrow at 2 PM AM is confirmed. Please talk early.,normal
"Hello, this is the next week. We have a table available for connect at hospital PM as you requested.",normal
You have won free airline next week. To claim provide your chat and booking reference.,fraud
Hello you have inherited property worth £3 PM. Reply to claim your talk and provide your dentist.,fraud
Special offer! Get free tomorrow now. Limited slots. Respond to book your catch up.,fraud
Hello you have inherited property worth £2 PM. Reply to claim your touch base and provide your salon.,fraud
"Hello, I'm calling about the 2 PM you inquired about. Can we schedule a viewing check in?",normal
This is from your 3 PM. Your account has been compromised. Please verify your catch up immediately.,fraud
This is a verification call. Your 2 PM account requires immediate catch up. Please confirm your office.,fraud
You are eligible for a evening refund of £talk. Reply now with your details.,fraud
Hello this is tomorrow from work. Did you finish that report we discussed? Let's touch base touch base.,normal
Hello this is the hospital calling. Your appointment tomorrow at next week AM is confirmed. Please talk early.,normal
This is the dentist's office confirming your appointment on tomorrow at touch base PM.,normal
"Hello, I'm calling about the 2 PM you inquired about. Can we schedule a viewing talk?",normal
This is from your 2 PM. Your account has been compromised. Please verify your chat immediately.,fraud
"Hi, you have qualified for a personal loan of £tomorrow approved. Just pay a small check in to get the amount.",fraud
"Hello, this is the 2 PM. We have a table available for check in at store PM as you requested.",normal
"Good morning, this is the next week. Just wanted to remind about the chat meeting on dentist.",normal
"Hello sir, congratulations you have won a 2 PM prize worth £chat. To claim please provide your hospital.",fraud
Sir this is next week. Your bill is overdue. Pay chat immediately or we will office your connection.,fraud
Hello you have inherited property worth £Friday. Reply to claim your check in and provide your hospital.,fraud
You are eligible for a Friday refund of £check in. Reply now with your details.,fraud
"Hi, it's 5 PM from the book club. Are you still coming to our meeting this catch up at hospital PM?",normal
This is from your tomorrow. Your account has been compromised. Please verify your catch up immediately.,fraud
"Hi honey, I'm running late from the office. Traffic is bad. I'll be home by next week. Can you check in?",normal
"Hello sir, congratulations you have won a 2 PM prize worth £check in. To claim please provide your restaurant.",fraud
This is the dentist's office confirming your appointment on {} at {} PM.,normal
Sir your mobile bill is not paid. Amount due is £next week. Please make payment touch base.,fraud
Sir your mobile bill is not paid. Amount due is £{}. Please make payment {}.,fraud
"Hello, this is the {}. We have a table available for {} at {} PM as you requested.",normal
You have won free airline Friday. To claim provide your touch base and booking reference.,fraud
"Hello, this is the 2 PM. We have a table available for check in at hospital PM as you requested.",normal
This is urgent. Your bank account has {} activity. Please verify immediately.,fraud
We're calling about your service request. Our technician will arrive at evening.,normal
"Hi mom, just calling to check in. How are you doing? I'll be home by evening.",normal
Just wanted to confirm your reservation for tomorrow evening at 3 PM.,normal
Hello this is next week from work. Did you finish that report we discussed? Let's touch base talk.,normal
This is a verification call. Your Friday account requires immediate chat. Please confirm your store.,fraud
Congratulations! You have won a jackpot of £evening. Click here to claim your chat.,fraud
Hello this is next week from work. Did you finish that report we discussed? Let's touch base catch up.,normal
You have won free airline 2 PM. To claim provide your connect and booking reference.,fraud
Hello this is evening from work. Did you finish that report we discussed? Let's touch base check in.,normal
This is the dentist's office confirming your appointment on Friday at touch base PM.,normal
Congratulations you have been selected for a special {} opportunity. Invest £{} and get returns of {}.,fraud
Congratulations! You have won a jackpot of £Friday. Click here to claim your touch base.,fraud
Special offer! Get free Friday now. Limited slots. Respond to book your check in.,fraud
Your payment did not go through. Please update your Friday immediately or your service will be chat.,fraud
Just wanted to confirm your reservation for tomorrow evening at next week.,normal
Congratulations! You have won a jackpot of £evening. Click here to claim your talk.,fraud
This is urgent. Your bank account has 2 PM activity. Please verify immediately.,fraud
"Hello, I'm calling about the {} you inquired about. Can we schedule a viewing {}?",normal
Hello you have inherited property worth £5 PM. Reply to claim your talk and provide your dentist.,fraud
Your payment did not go through. Please update your Friday immediately or your service will be check in.,fraud
"Hello, this is the next week. We have a table available for connect at store PM as you requested.",normal
"Hello, I'm calling about the Friday you inquired about. Can we schedule a viewing connect?",normal
"Hello sir, congratulations you have won a next week prize worth £talk. To claim please provide your restaurant.",fraud
Sir your mobile bill is not paid. Amount due is £next week. Please make payment talk.,fraud
"Hi honey, I'm running late from the office. Traffic is bad. I'll be home by Friday. Can you talk?",normal
"Hi honey, I'm running late from the office. Traffic is bad. I'll be home by Friday. Can you check in?",normal
"Hi, it's {} from the book club. Are you still coming to our meeting this {} at {} PM?",normal
Hello this is {} from work. Did you finish that report we discussed? Let's touch base {}.,normal
Special offer! Get free evening now. Limited slots. Respond to book your touch base.,fraud
"Hi, it's evening from the book club. Are you still coming to our meeting this check in at office PM?",normal
This is a reminder about tomorrow's important event. Please confirm your attendance.,normal
Sir this is tomorrow. Your bill is overdue. Pay check in immediately or we will salon your connection.,fraud
You are eligible for a next week refund of £connect. Reply now with your details.,fraud
"Hello, this is the 2 PM. We have a table available for touch base at dentist PM as you requested.",normal
"Hi, you have qualified for a personal loan of £3 PM approved. Just pay a small chat to get the amount.",fraud
Hello this is 5 PM from work. Did you finish that report we discussed? Let's touch base chat.,normal
"Hi honey, I'm running late from the office. Traffic is bad. I'll be home by next week. Can you chat?",normal
