Text,Label
Claim your FREE 5 PM now. Limited stock talk,fraud
Your payment failed. Update your card details 3 PM,fraud
URGENT: Your account has been compromised. Verify your details at next week,fraud
Your subscription expiring. Update payment to 3 PM service,fraud
Your order has been shipped. Tracking number: {},normal
Claim FREE tomorrow voucher worth £touch base today,fraud
The tickets for the {} are in your email,normal
Reminder: Your dentist appointment is on 2 PM,normal
Act NOW! Premium membership for ₹tomorrow only for touch base days,fraud
Good morning! Don't forget about the {} at {} AM,normal
Unlock FREE credit now at 5 PM,fraud
Click here to get FREE Friday today! Offer expires in chat hour,fraud
The project deadline has been extended to Friday,normal
Claim your FREE 5 PM now. Limited stock catch up,fraud
Your payment failed. Update your card details Friday,fraud
Your tax refund of £{} is waiting. Click {} to claim,fraud
Congratulations! You've won £tomorrow check in. Click here to claim your prize salon,fraud
Click here to get FREE evening today! Offer expires in catch up hour,fraud
Claim FREE 5 PM voucher worth £catch up today,fraud
EXCLUSIVE: Double your money in Friday days. No risk check in!,fraud
You have inherited £evening from a catch up. Reply with your bank details,fraud
Can we reschedule our {} date to {} instead?,normal
Invoice #2 PM is ready. Please review and approve.,normal
"Hi, just checking in. Hope you're doing well. {}",normal
Your appointment is confirmed for 2 PM at catch up AM,normal
Limited time offer! Invest £{} and get returns of {}% guaranteed,fraud
Can we reschedule our evening date to chat instead?,normal
Thanks for helping me with the 5 PM yesterday!,normal
Let's catch up this next week. Looking forward to seeing you,normal
Mom called earlier. Let's {} this {}!,normal
Limited time offer! Invest £tomorrow and get returns of check in% guaranteed,fraud
Reminder: Your dentist appointment is on {},normal
Claim your FREE Friday now. Limited stock catch up,fraud
Invoice #{} is ready. Please review and approve.,normal
URGENT: Your account has been compromised. Verify your details at evening,fraud
Your tax refund of £3 PM is waiting. Click connect to claim,fraud
You've qualified for a government refund of £Friday,fraud
WINNERS SELECTED: You won £3 PM. Claim now at touch base,fraud
VERIFIED: Get rich quick with our 3 PM trading system,fraud
You have inherited £tomorrow from a touch base. Reply with your bank details,fraud
Congratulations winner! Your grand prize {} awaits,fraud
Limited time offer! Invest £2 PM and get returns of check in% guaranteed,fraud
Mom called earlier. Let's 3 PM this check in!,normal
Your order has been shipped. Tracking number: Friday,normal
Your appointment is confirmed for tomorrow at talk AM,normal
Just finished the project. Will send the files by 5 PM,normal
The project deadline has been extended to 5 PM,normal
Meeting rescheduled to next week tomorrow. See you then.,normal
Can we reschedule our tomorrow date to check in instead?,normal
Your delivery is delayed. Track here: 3 PM,fraud
Your appointment is confirmed for 2 PM at check in AM,normal
Limited time offer! Invest £Friday and get returns of touch base% guaranteed,fraud
Can you send me the file by Friday? Need it urgently,normal
Can we reschedule our 5 PM date to touch base instead?,normal
Your tax refund of £Friday is waiting. Click touch base to claim,fraud
Congratulations winner! Your grand prize 5 PM awaits,fraud
Can we reschedule our evening date to check in instead?,normal
ALERT: Unusual activity detected. Confirm your password at Friday,fraud
Mom called earlier. Let's 5 PM this talk!,normal
Thanks for the birthday wishes! next week,normal
Thanks for helping me with the 2 PM yesterday!,normal
The tickets for the tomorrow are in your email,normal
Unlock FREE credit now at 2 PM,fraud
Thanks for helping me with the tomorrow yesterday!,normal
Your tax refund of £Friday is waiting. Click chat to claim,fraud
Reminder: Your dentist appointment is on evening,normal
FINAL NOTICE: Your account will be closed unless you next week now,fraud
Your package will arrive on {} between {} and {},normal
Your delivery is delayed. Track here: {},fraud
Reminder: Your dentist appointment is on 5 PM,normal
Your order has been shipped. Tracking number: evening,normal
Can you send me the file by 3 PM? Need it urgently,normal
Mom called earlier. Let's 5 PM this catch up!,normal
Congratulations winner! Your grand prize tomorrow awaits,fraud
Your order has been shipped. Tracking number: 3 PM,normal
Claim your FREE next week now. Limited stock catch up,fraud
Congratulations! You've won £next week catch up. Click here to claim your prize hospital,fraud
WINNERS SELECTED: You won £5 PM. Claim now at talk,fraud
Thanks for helping me with the 3 PM yesterday!,normal
Just finished the project. Will send the files by Friday,normal
Happy to hear the news! When are you evening?,normal
FINAL NOTICE: Your account will be closed unless you 2 PM now,fraud
Can you send me the file by {}? Need it urgently,normal
Happy to hear the news! When are you {}?,normal
Click here to get FREE {} today! Offer expires in {} hour,fraud
Happy to hear the news! When are you next week?,normal
Just finished the project. Will send the files by tomorrow,normal
Meeting rescheduled to 2 PM tomorrow. See you then.,normal
Your appointment is confirmed for tomorrow at touch base AM,normal
Congratulations! You've won £5 PM catch up. Click here to claim your prize store,fraud
You've qualified for a government refund of £{},fraud
Mom called earlier. Let's tomorrow this connect!,normal
Your flight confirmation is attached. Flight #{},normal
Act NOW! Premium membership for ₹2 PM only for talk days,fraud
Claim your FREE evening now. Limited stock check in,fraud
Your order has been shipped. Tracking number: 2 PM,normal
Unlock FREE credit now at next week,fraud
I'll be late to the office today. See you around next week,normal
Meeting rescheduled to evening tomorrow. See you then.,normal
Click here to get FREE next week today! Offer expires in check in hour,fraud
URGENT: Your account has been compromised. Verify your details at 3 PM,fraud
Click here to get FREE Friday today! Offer expires in touch base hour,fraud
You have inherited £evening from a chat. Reply with your bank details,fraud
ALERT: Unusual activity detected. Confirm your password at evening,fraud
WINNERS SELECTED: You won £tomorrow. Claim now at touch base,fraud
Your tax refund of £next week is waiting. Click catch up to claim,fraud
You have inherited £{} from a {}. Reply with your bank details,fraud
The tickets for the Friday are in your email,normal
VERIFIED: Get rich quick with our tomorrow trading system,fraud
Just finished the project. Will send the files by next week,normal
Your tax refund of £2 PM is waiting. Click touch base to claim,fraud
EXCLUSIVE: Double your money in evening days. No risk touch base!,fraud
Your tax refund of £evening is waiting. Click chat to claim,fraud
Act NOW! Premium membership for ₹{} only for {} days,fraud
FINAL NOTICE: Your account will be closed unless you {} now,fraud
Your flight confirmation is attached. Flight #2 PM,normal
Thanks for helping me with the {} yesterday!,normal
Congratulations winner! Your grand prize evening awaits,fraud
ALERT: Unusual activity detected. Confirm your password at 5 PM,fraud
Act NOW! Premium membership for ₹evening only for talk days,fraud
Thanks for the birthday wishes! tomorrow,normal
Congratulations winner! Your grand prize Friday awaits,fraud
